what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.builds.core,1.8.0.v20150525-1955,"org.eclipse.mylyn.builds.core",1694005060518
started,bundle,org.eclipse.compare.core,3.5.500.v20150505-1058,"org.eclipse.compare.core",1694005060577
started,bundle,org.eclipse.compare,3.5.600.v20150420-1449,"org.eclipse.compare",1694005060581
started,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20131227-1524,"org.eclipse.ui.cheatsheets",1694005060644
activated,view,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.PackageExplorer",1694005067491
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1694005067508
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1694005067522
activated,view,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.PackageExplorer",1694005072183
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1694005074449
activated,view,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.PackageExplorer",1694005076091
activated,view,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.ProjectExplorer",1694005078154
activated,view,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.PackageExplorer",1694005097490
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.views.showView",1694005097492
opened,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ResourceNavigator",1694005111834
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ResourceNavigator",1694005111874
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.views.showView",1694005111876
activated,view,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.PackageExplorer",1694005117553
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ResourceNavigator",1694005119007
started,bundle,org.eclipse.ltk.core.refactoring,3.6.201.v20150819-1034,"org.eclipse.ltk.core.refactoring",1694005130743
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1694005130889
opened,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005131016
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005131220
started,bundle,org.eclipse.jdt.junit,3.8.0.v20150428-1340,"org.eclipse.jdt.junit",1694005131318
started,bundle,org.eclipse.core.variables,3.2.800.v20130819-1716,"org.eclipse.core.variables",1694005131524
executed,command,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1694005145209
executed,command,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1694005156022
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ResourceNavigator",1694005160516
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1694005163608
closed,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005166535
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1694005166620
executed,command,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1694005166630
opened,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005172301
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005172394
activated,view,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.views.ResourceNavigator",1694005188165
deactivated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1694005189819
activated,workbench,org.eclipse.ui.workbench,3.107.1.v20160120-2131,"",1694005190724
executed,command,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1694005190734
closed,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005190755
opened,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005194329
activated,editor,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui.CompilationUnitEditor",1694005194441
