what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1694005662505
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.406.v201004211805,"org.eclipse.jst.ws.axis.consumption.core",1694005662506
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1694005662506
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.507.v201004211805,"org.eclipse.jst.ws.consumption",1694005662508
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1694005662508
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1694005662509
stopped,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1694005662510
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1694005662510
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1694005662510
stopped,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1694005662511
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1694005662511
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1694005662511
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.1.v20100906,"org.eclipse.jst.jsf.facesconfig",1694005662513
stopped,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1694005662513
stopped,bundle,org.eclipse.emf.codegen,2.6.0.v20100914-1218,"org.eclipse.emf.codegen",1694005662513
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.1.0.v20150423-0947,"org.eclipse.jdt.apt.pluggable.core",1694005662514
stopped,bundle,org.eclipse.jdt.apt.core,3.4.0.v20150518-1201,"org.eclipse.jdt.apt.core",1694005662514
stopped,bundle,org.eclipse.jdt.core.manipulation,1.5.100.v20141002-1241,"org.eclipse.jdt.core.manipulation",1694005662514
stopped,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1694005662514
stopped,bundle,org.eclipse.jdt.junit.core,3.7.400.v20150423-0747,"org.eclipse.jdt.junit.core",1694005662515
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.v200905030615,"org.eclipse.jem.beaninfo",1694005662516
stopped,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1694005662517
stopped,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1694005662517
stopped,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1694005662517
stopped,bundle,org.eclipse.jem.proxy,2.0.301.v201101101700,"org.eclipse.jem.proxy",1694005662517
stopped,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1694005662518
stopped,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1694005662518
stopped,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1694005662518
stopped,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1694005662518
stopped,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1694005662519
stopped,bundle,org.eclipse.pde.ds.core,1.0.100.v20100601,"org.eclipse.pde.ds.core",1694005662519
stopped,bundle,org.eclipse.pde.ua.core,1.0.100.v20100504,"org.eclipse.pde.ua.core",1694005662520
stopped,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1694005662520
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.launching",1694005662520
stopped,bundle,org.eclipse.jdt.launching,3.8.0.v20150527-0946,"org.eclipse.jdt.launching",1694005662520
stopped,bundle,org.eclipse.jdt.debug,3.9.1.v20160128-1343,"org.eclipse.jdt.debug",1694005662524
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1694005662524
stopped,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1694005662524
stopped,bundle,org.eclipse.jdt.core,3.11.2.v20160128-0629,"org.eclipse.jdt.core",1694005663011
stopped,bundle,org.eclipse.mylyn.versions.core,1.8.0.v20150525-1956,"org.eclipse.mylyn.versions.core",1694005663011
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1694005663012
stopped,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1694005663013
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.rhino",1694005663014
stopped,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1694005663014
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1694005663014
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1694005663015
stopped,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1694005663529
stopped,bundle,org.eclipse.team.core,3.7.100.v20150203-1452,"org.eclipse.team.core",1694005663530
stopped,bundle,org.eclipse.ui.externaltools,3.3.0.v20150302-1002,"org.eclipse.ui.externaltools",1694005663531
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1694005663532
