what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1682446816331
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.core",1682446816331
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1682446816331
stopped,bundle,org.eclipse.wb.swing.databinding,1.8.0.r45x201506110826,"org.eclipse.wb.swing.databinding",1682446816332
stopped,bundle,org.eclipse.wb.core.databinding,1.8.0.r45x201506110821,"org.eclipse.wb.core.databinding",1682446816333
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.8.0.r45x201506110826,"org.eclipse.wb.swing.FormLayout",1682446816333
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.8.0.r45x201506110826,"org.eclipse.wb.swing.MigLayout",1682446816334
stopped,bundle,org.eclipse.wb.swing.java6,1.8.0.r45x201506110826,"org.eclipse.wb.swing.java6",1682446816334
stopped,bundle,org.eclipse.wb.swing.jsr296,1.8.0.r45x201506110826,"org.eclipse.wb.swing.jsr296",1682446816335
stopped,bundle,org.eclipse.wb.swing,1.8.0.r45x201506110826,"org.eclipse.wb.swing",1682446816335
stopped,bundle,org.eclipse.wb.core.ui,1.8.0.r45x201506110822,"org.eclipse.wb.core.ui",1682446816335
stopped,bundle,org.eclipse.wb.layout.group,1.8.0.r45x201506110824,"org.eclipse.wb.layout.group",1682446816335
stopped,bundle,org.eclipse.wb.core.java,1.8.0.r45x201506110821,"org.eclipse.wb.core.java",1682446816336
stopped,bundle,org.eclipse.jdt.ui,3.11.2.v20151123-1510,"org.eclipse.jdt.ui",1682446816336
stopped,bundle,org.eclipse.rse.importexport,1.2.101.v201008191400,"org.eclipse.rse.importexport",1682446816336
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1682446816337
stopped,bundle,org.eclipse.rse.useractions,1.1.100.v200905272300,"org.eclipse.rse.useractions",1682446816337
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1682446816337
stopped,bundle,org.eclipse.rse.files.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.files.ui",1682446816337
stopped,bundle,org.eclipse.rse.processes.ui,3.0.200.v201003010830,"org.eclipse.rse.processes.ui",1682446816338
